sample_id,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_7,AB_8,AB_9,AB_10,AB_11,AB_12,AB_13,AB_14,AB_15,AB_16,AB_17,AB_18,AB_19,AB_20,AB_21,AB_22,AB_23,AB_24,AB_25,AB_26,AB_27,AB_28,AB_29,AB_30,AB_31,AB_32,AB_33,AB_34,AB_35,AB_36,AB_37,AB_38,AB_39,AB_40,AB_41,AB_42,AB_43,AB_44,AB_45,AB_46,AB_47,AB_48,AB_49,AB_50,AB_51,AB_52,AB_53,AB_54,AB_55,AB_56,AB_57,AB_58,AB_59,AB_60,AB_61,AB_62,AB_63,AB_64,AB_65,AB_66,AB_67,AB_68,AB_69,AB_70,AB_71,AB_72,AB_73,AB_74,AB_75,AB_76,AB_77,AB_78,AB_79,AB_80,AB_81,AB_82,AB_83,AB_84
AB_32,0,0.31645569620253167,0.6582278481012658,0.02531645569620253,0.3291139240506329,0.6582278481012658,0.31645569620253167,0.012658227848101266,0.6582278481012658,0.012658227848101266,0.31645569620253167,0.02531645569620253,0.6582278481012658,0,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.6582278481012658,0,0.6582278481012658,0.16455696202531644,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.6708860759493671,0.9240506329113924,0.6582278481012658,0.6582278481012658,0.6708860759493671,1,0.6582278481012658,0.6582278481012658,0,0.31645569620253167,0,0.012658227848101266,0.31645569620253167,0.6582278481012658,0.31645569620253167,0,0.6582278481012658,0.012658227848101266,0.31645569620253167,0.31645569620253167,0.6582278481012658,0.02531645569620253,0,0.31645569620253167,0,0.34177215189873417,0.02531645569620253,0,0.31645569620253167,0,0,0,0,0.6582278481012658,0.6582278481012658,0.31645569620253167,0,0.6835443037974683,0,0,0,0,0,0.6582278481012658,0,0.012658227848101266,0.6582278481012658,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0.012658227848101266,0.6582278481012658,0.31645569620253167,0
AB_33,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.012658227848101266,1,0,0.9746835443037974,0,0,0.05063291139240506,0,0.012658227848101266,0.9873417721518988,0.7088607594936709,1,0.9873417721518988,0.9873417721518988,0.6582278481012658,1,0.9873417721518988,0,0,0,0,0,1,0,0,1,0.012658227848101266,0,0,0.9873417721518988,0,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,1,1,0,0.02531645569620253,0.9240506329113924,0,0,0.012658227848101266,0,0,1,0,0.012658227848101266,1,0,0.0379746835443038,0,0,0,0,0.012658227848101266,0,1,0,0
AB_34,0.012658227848101266,0,0.9873417721518988,0,0,0.9873417721518988,0,0.012658227848101266,0.9873417721518988,0,0,0,0.9873417721518988,0,0,0,0,0,0.9873417721518988,0.012658227848101266,0.9873417721518988,0,0,0.05063291139240506,0.012658227848101266,0,0.9873417721518988,0.6962025316455697,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.6582278481012658,0.9873417721518988,1,0.012658227848101266,0,0.012658227848101266,0,0,0.9873417721518988,0,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0.012658227848101266,1,0,0.012658227848101266,0,0.012658227848101266,0,0,0,0.02531645569620253,0,0,0,0.012658227848101266,0.9873417721518988,0.9873417721518988,0,0.012658227848101266,0.9367088607594937,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0,0.02531645569620253,0,0.012658227848101266,0.012658227848101266,0,0,0,0.9873417721518988,0,0.012658227848101266
AB_35,0.02531645569620253,0,0,0.012658227848101266,0,0,0,0.9873417721518988,0,0.0379746835443038,0,0,0,0.012658227848101266,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.9746835443037974,0,0.02531645569620253,0.02531645569620253,0,0.9746835443037974,0.9367088607594937,1,0.9746835443037974,0,0,0,0,0,0,0,0.012658227848101266,1,0,0.02531645569620253,0.012658227848101266,0,0,0,0.02531645569620253,0,0.9746835443037974,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,1,0,0.02531645569620253,0,0,0,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.012658227848101266,1,0,0,0,0.9746835443037974,0.012658227848101266,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.02531645569620253,1,0,0.02531645569620253,0,0,0.012658227848101266,0.9620253164556962,0.9746835443037974,0.02531645569620253,0.02531645569620253,0.9873417721518988,0.012658227848101266,0.012658227848101266,0,0,1
AB_36,0,1,0,0,0.9873417721518988,0,1,0,0,0.012658227848101266,1,0,0,0.012658227848101266,0,0,0,0,0,0,0,0.20253164556962025,0.012658227848101266,0.012658227848101266,0,0,0,0.2911392405063291,0,0.012658227848101266,0,0.31645569620253167,0,0,0,1,0,0,1,0,1,0,0,0,0.9873417721518988,0.9873417721518988,0,0.06329113924050633,0,0.9873417721518988,0,0.9746835443037974,0,0.0379746835443038,0.9746835443037974,0.012658227848101266,0,0,0,0,0,1,0,0.06329113924050633,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101266,0,0,0.012658227848101266,0,0.012658227848101266,0,1,0
AB_37,1,0,0,0.9620253164556962,0,0,0,0.012658227848101266,0,0.9367088607594937,0,0.9746835443037974,0,0.9873417721518988,0,0,0,0,0,1,0.02531645569620253,0.7974683544303798,0,0,0.02531645569620253,0,0,0,0,0,0,0,0,0.012658227848101266,0.02531645569620253,0,1,0.9873417721518988,0,0,0,1,0,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9367088607594937,0.02531645569620253,0,1,0,0.9746835443037974,0.9620253164556962,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.02531645569620253,0,0,0,0,0.012658227848101266,1,1,0.9873417721518988,1,0.02531645569620253,0,1,0.9746835443037974,0,0.9873417721518988,0,0,1,1,0.012658227848101266,0.9620253164556962,0.9620253164556962,0,0,0.02531645569620253
AB_38,0.9873417721518988,0,0,0.9746835443037974,0.012658227848101266,0,0,0,0,0.9367088607594937,0,0.9873417721518988,0,0.9873417721518988,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0,0.9873417721518988,0.012658227848101266,0.7974683544303798,0,0,0.012658227848101266,0,0.012658227848101266,0,0,0,0.012658227848101266,0.012658227848101266,0,0,0.012658227848101266,0,0.9873417721518988,1,0,0,0,0.9873417721518988,0,0,0,0,0,0.9367088607594937,0.012658227848101266,0,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.9620253164556962,0,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.012658227848101266,0,0,0,0,0,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0.9746835443037974,0,1,0,0,0.9873417721518988,0.9873417721518988,0.012658227848101266,0.9620253164556962,0.9620253164556962,0,0,0.012658227848101266
AB_39,0,1,0,0,0.9873417721518988,0,1,0,0,0.012658227848101266,1,0,0,0.012658227848101266,0,0,0,0,0,0,0,0.20253164556962025,0.012658227848101266,0.012658227848101266,0,0,0,0.2911392405063291,0,0.012658227848101266,0,0.31645569620253167,0,0,0,1,0,0,1,0,1,0,0,0,0.9873417721518988,0.9873417721518988,0,0.06329113924050633,0,0.9873417721518988,0,0.9746835443037974,0,0.0379746835443038,0.9746835443037974,0.012658227848101266,0,0,0,0,0,1,0,0.06329113924050633,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101266,0,0,0.012658227848101266,0,0.012658227848101266,0,1,0
AB_40,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.012658227848101266,1,0,0.9746835443037974,0,0,0.05063291139240506,0,0.012658227848101266,0.9873417721518988,0.7088607594936709,1,0.9873417721518988,0.9873417721518988,0.6582278481012658,1,0.9873417721518988,0,0,0,0,0,1,0,0,1,0.012658227848101266,0,0,0.9873417721518988,0,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,1,1,0,0.02531645569620253,0.9240506329113924,0,0,0.012658227848101266,0,0,1,0,0.012658227848101266,1,0,0.0379746835443038,0,0,0,0,0.012658227848101266,0,1,0,0
AB_41,0,1,0,0,0.9873417721518988,0,1,0,0,0.012658227848101266,1,0,0,0.012658227848101266,0,0,0,0,0,0,0,0.20253164556962025,0.012658227848101266,0.012658227848101266,0,0,0,0.2911392405063291,0,0.012658227848101266,0,0.31645569620253167,0,0,0,1,0,0,1,0,1,0,0,0,0.9873417721518988,0.9873417721518988,0,0.06329113924050633,0,0.9873417721518988,0,0.9746835443037974,0,0.0379746835443038,0.9746835443037974,0.012658227848101266,0,0,0,0,0,1,0,0.06329113924050633,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101266,0,0,0.012658227848101266,0,0.012658227848101266,0,1,0
AB_42,1,0,0,0.9620253164556962,0,0,0,0.012658227848101266,0,0.9367088607594937,0,0.9746835443037974,0,0.9873417721518988,0,0,0,0,0,1,0.02531645569620253,0.7974683544303798,0,0,0.02531645569620253,0,0,0,0,0,0,0,0,0.012658227848101266,0.02531645569620253,0,1,0.9873417721518988,0,0,0,1,0,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9367088607594937,0.02531645569620253,0,1,0,0.9746835443037974,0.9620253164556962,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.02531645569620253,0,0,0,0,0.012658227848101266,1,1,0.9873417721518988,1,0.02531645569620253,0,1,0.9746835443037974,0,0.9873417721518988,0,0,1,1,0.012658227848101266,0.9620253164556962,0.9620253164556962,0,0,0.02531645569620253
AB_43,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.012658227848101266,1,0,0.9746835443037974,0,0,0.05063291139240506,0,0.012658227848101266,0.9873417721518988,0.7088607594936709,1,0.9873417721518988,0.9873417721518988,0.6582278481012658,1,0.9873417721518988,0,0,0,0,0,1,0,0,1,0.012658227848101266,0,0,0.9873417721518988,0,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,1,1,0,0.02531645569620253,0.9240506329113924,0,0,0.012658227848101266,0,0,1,0,0.012658227848101266,1,0,0.0379746835443038,0,0,0,0,0.012658227848101266,0,1,0,0
AB_44,0,0,0.012658227848101266,0.02531645569620253,0,0.012658227848101266,0,0.9873417721518988,0.012658227848101266,0.05063291139240506,0,0.012658227848101266,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0.9873417721518988,1,0.012658227848101266,0,0,0,0.9873417721518988,0.9367088607594937,0.9746835443037974,1,0,0.012658227848101266,0.012658227848101266,0,0,0.012658227848101266,0.012658227848101266,0,0.9746835443037974,0,0,0,0,0.012658227848101266,0,0,0.012658227848101266,1,0,0,0,0,0.9746835443037974,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0,0.9746835443037974,0.012658227848101266,0.012658227848101266,0.9746835443037974,0.012658227848101266,0.012658227848101266,0,0.9873417721518988,0,0,0,0.012658227848101266,0,0.9746835443037974,0.012658227848101266,0,0.02531645569620253,0.012658227848101266,0,0.9746835443037974,0.9873417721518988,0,0,0.9746835443037974,0.0379746835443038,0.02531645569620253,0.012658227848101266,0,0.9746835443037974
AB_45,0.012658227848101266,0.9873417721518988,0,0,0.9873417721518988,0,0.9873417721518988,0.012658227848101266,0,0,0.9873417721518988,0,0,0,0,0,0,0,0,0.012658227848101266,0.012658227848101266,0.189873417721519,0,0,0.012658227848101266,0,0,0.2911392405063291,0,0,0,0.31645569620253167,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0,0.9873417721518988,0.012658227848101266,0,0,1,1,0.012658227848101266,0.05063291139240506,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.9746835443037974,0,0.02531645569620253,0.9873417721518988,0,0,0,0.012658227848101266,0,0,0.9873417721518988,0,0.0759493670886076,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0,0,0,0,0.012658227848101266,0.012658227848101266,0,0,0,0,0.9873417721518988,0.012658227848101266
AB_46,0.012658227848101266,0.9873417721518988,0,0,0.9873417721518988,0,0.9873417721518988,0.012658227848101266,0,0,0.9873417721518988,0,0,0,0,0,0,0,0,0.012658227848101266,0.012658227848101266,0.189873417721519,0,0,0.012658227848101266,0,0,0.2911392405063291,0,0,0,0.31645569620253167,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0,0.9873417721518988,0.012658227848101266,0,0,1,1,0.012658227848101266,0.05063291139240506,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.9746835443037974,0,0.02531645569620253,0.9873417721518988,0,0,0,0.012658227848101266,0,0,0.9873417721518988,0,0.0759493670886076,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0,0,0,0,0.012658227848101266,0.012658227848101266,0,0,0,0,0.9873417721518988,0.012658227848101266
AB_47,0.012658227848101266,0,0.9873417721518988,0,0,0.9873417721518988,0,0.012658227848101266,0.9873417721518988,0,0,0,0.9873417721518988,0,0,0,0,0,0.9873417721518988,0.012658227848101266,0.9873417721518988,0,0,0.05063291139240506,0.012658227848101266,0,0.9873417721518988,0.6962025316455697,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.6582278481012658,0.9873417721518988,1,0.012658227848101266,0,0.012658227848101266,0,0,0.9873417721518988,0,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0.012658227848101266,1,0,0.012658227848101266,0,0.012658227848101266,0,0,0,0.02531645569620253,0,0,0,0.012658227848101266,0.9873417721518988,0.9873417721518988,0,0.012658227848101266,0.9367088607594937,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0,0.02531645569620253,0,0.012658227848101266,0.012658227848101266,0,0,0,0.9873417721518988,0,0.012658227848101266
AB_48,0.9367088607594937,0.06329113924050633,0,0.9367088607594937,0.05063291139240506,0,0.06329113924050633,0,0,0.9493670886075949,0.06329113924050633,0.9367088607594937,0,0.9493670886075949,0,0,0,0,0,0.9367088607594937,0,0.8607594936708861,0.012658227848101266,0.012658227848101266,0,0,0,0.0379746835443038,0,0.012658227848101266,0,0.02531645569620253,0,0,0,0.06329113924050633,0.9367088607594937,0.9367088607594937,0.06329113924050633,0,0.06329113924050633,0.9367088607594937,0,0,0.05063291139240506,0.05063291139240506,0,1,0,0.05063291139240506,0.9367088607594937,0.0379746835443038,0.9367088607594937,0.9746835443037974,0.0379746835443038,0.012658227848101266,0.9367088607594937,0.9367088607594937,0,0,0,0.06329113924050633,0,0.05063291139240506,0.9367088607594937,0.9367088607594937,0.9367088607594937,0.9367088607594937,0,0,0.9367088607594937,0.9367088607594937,0,0.9367088607594937,0,0.012658227848101266,0.9367088607594937,0.9367088607594937,0.012658227848101266,0.9367088607594937,0.9493670886075949,0,0.06329113924050633,0
AB_49,0.02531645569620253,0,0,0.012658227848101266,0,0,0,0.9873417721518988,0,0.0379746835443038,0,0,0,0.012658227848101266,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.9746835443037974,0,0.02531645569620253,0.02531645569620253,0,0.9746835443037974,0.9367088607594937,1,0.9746835443037974,0,0,0,0,0,0,0,0.012658227848101266,1,0,0.02531645569620253,0.012658227848101266,0,0,0,0.02531645569620253,0,0.9746835443037974,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,1,0,0.02531645569620253,0,0,0,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.012658227848101266,1,0,0,0,0.9746835443037974,0.012658227848101266,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.02531645569620253,1,0,0.02531645569620253,0,0,0.012658227848101266,0.9620253164556962,0.9746835443037974,0.02531645569620253,0.02531645569620253,0.9873417721518988,0.012658227848101266,0.012658227848101266,0,0,1
AB_50,0,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0,0.9873417721518988,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0.012658227848101266,0,0,0.189873417721519,0,0,0,0.012658227848101266,0,0.3037974683544304,0.012658227848101266,0,0,0.31645569620253167,0.012658227848101266,0,0,0.9873417721518988,0,0,0.9873417721518988,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0,0.05063291139240506,0,1,0,0.9746835443037974,0,0.02531645569620253,0.9746835443037974,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.06329113924050633,0,0,0.012658227848101266,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.9873417721518988,0
AB_51,1,0,0,0.9620253164556962,0,0,0,0.012658227848101266,0,0.9367088607594937,0,0.9746835443037974,0,0.9873417721518988,0,0,0,0,0,1,0.02531645569620253,0.7974683544303798,0,0,0.02531645569620253,0,0,0,0,0,0,0,0,0.012658227848101266,0.02531645569620253,0,1,0.9873417721518988,0,0,0,1,0,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9367088607594937,0.02531645569620253,0,1,0,0.9746835443037974,0.9620253164556962,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.02531645569620253,0,0,0,0,0.012658227848101266,1,1,0.9873417721518988,1,0.02531645569620253,0,1,0.9746835443037974,0,0.9873417721518988,0,0,1,1,0.012658227848101266,0.9620253164556962,0.9620253164556962,0,0,0.02531645569620253
AB_52,0,0.9746835443037974,0,0.02531645569620253,0.9873417721518988,0,0.9746835443037974,0.012658227848101266,0,0.012658227848101266,0.9746835443037974,0.02531645569620253,0,0,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.012658227848101266,0,0,0,0.17721518987341772,0.012658227848101266,0,0,0.012658227848101266,0.012658227848101266,0.2911392405063291,0,0,0.012658227848101266,0.34177215189873417,0,0,0,0.9746835443037974,0,0.012658227848101266,0.9746835443037974,0,0.9746835443037974,0,0,0.012658227848101266,0.9746835443037974,0.9746835443037974,0,0.0379746835443038,0,0.9746835443037974,0,1,0.02531645569620253,0.012658227848101266,0.9746835443037974,0,0,0,0,0,0,0.9746835443037974,0,0.05063291139240506,0,0,0,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0,0.012658227848101266,0,0,0,0.012658227848101266,0.012658227848101266,0,0.9746835443037974,0
AB_53,0.9746835443037974,0,0,0.9873417721518988,0.012658227848101266,0,0,0.012658227848101266,0,0.9493670886075949,0,1,0,0.9746835443037974,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.012658227848101266,0,0.9746835443037974,0,0.7974683544303798,0.012658227848101266,0,0,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0.02531645569620253,0,0,0,0,0.9746835443037974,0.9873417721518988,0,0,0,0.9746835443037974,0,0.012658227848101266,0,0,0,0.9367088607594937,0,0,0.9746835443037974,0.02531645569620253,1,0.9620253164556962,0,0,0.9746835443037974,0.9746835443037974,0,0,0,0,0,0,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.9746835443037974,0,0,0.9746835443037974,0.9873417721518988,0,0.9873417721518988,0,0.012658227848101266,0.9746835443037974,0.9746835443037974,0,0.9746835443037974,0.9746835443037974,0,0,0
AB_54,0.9620253164556962,0.0379746835443038,0,0.9620253164556962,0.02531645569620253,0,0.0379746835443038,0,0,0.9493670886075949,0.0379746835443038,0.9620253164556962,0,0.9746835443037974,0,0,0,0,0,0.9620253164556962,0,0.8354430379746836,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0,0.012658227848101266,0,0,0,0,0,0.0379746835443038,0.9620253164556962,0.9620253164556962,0.0379746835443038,0,0.0379746835443038,0.9620253164556962,0,0,0.02531645569620253,0.02531645569620253,0,0.9746835443037974,0,0.02531645569620253,0.9620253164556962,0.012658227848101266,0.9620253164556962,1,0.012658227848101266,0.012658227848101266,0.9620253164556962,0.9620253164556962,0,0,0,0.0379746835443038,0,0.02531645569620253,0.9620253164556962,0.9620253164556962,0.9620253164556962,0.9620253164556962,0,0,0.9620253164556962,0.9620253164556962,0,0.9620253164556962,0,0.012658227848101266,0.9620253164556962,0.9620253164556962,0.012658227848101266,0.9620253164556962,0.9746835443037974,0,0.0379746835443038,0
AB_55,0.012658227848101266,0.9746835443037974,0.012658227848101266,0,0.9746835443037974,0.012658227848101266,0.9746835443037974,0.012658227848101266,0.012658227848101266,0,0.9746835443037974,0,0.012658227848101266,0,0,0,0,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.17721518987341772,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.3037974683544304,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.31645569620253167,0.012658227848101266,0.02531645569620253,0.012658227848101266,0.9746835443037974,0.012658227848101266,0,0.9746835443037974,0.012658227848101266,0.9746835443037974,0.012658227848101266,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.9746835443037974,0.012658227848101266,0.9746835443037974,0,0.012658227848101266,1,0,0,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9746835443037974,0.012658227848101266,0.06329113924050633,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0.9746835443037974,0.012658227848101266
AB_56,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0,0.012658227848101266,0.9746835443037974,0,0.05063291139240506,0.012658227848101266,0,0,0.02531645569620253,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.9746835443037974,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9493670886075949,0.9873417721518988,0.9746835443037974,0,0,0,0.012658227848101266,0,0,0,0,0.9873417721518988,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0.9746835443037974,0,0,0,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0,0,0.012658227848101266,0,1,0.012658227848101266,0.012658227848101266,0.9873417721518988,0,0,0.012658227848101266,0.9746835443037974,0,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.9873417721518988,0,0.012658227848101266,0,0,0.012658227848101266,0.9620253164556962,0.9873417721518988,0.012658227848101266,0.012658227848101266,1,0.012658227848101266,0.02531645569620253,0,0.012658227848101266,0.9873417721518988
AB_57,0.9873417721518988,0,0.012658227848101266,0.9620253164556962,0,0.012658227848101266,0,0,0.012658227848101266,0.9367088607594937,0,0.9746835443037974,0.012658227848101266,0.9873417721518988,0,0,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.7974683544303798,0,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0,0.012658227848101266,0,0.9873417721518988,0.012658227848101266,0.012658227848101266,0,0,0,0.9367088607594937,0.012658227848101266,0.012658227848101266,0.9873417721518988,0,0.9746835443037974,0.9620253164556962,0,0.012658227848101266,1,1,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,1,0.9873417721518988,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0.012658227848101266,0.9746835443037974,0.9620253164556962,0.012658227848101266,0,0.012658227848101266
AB_58,0.9873417721518988,0,0.012658227848101266,0.9620253164556962,0,0.012658227848101266,0,0,0.012658227848101266,0.9367088607594937,0,0.9746835443037974,0.012658227848101266,0.9873417721518988,0,0,0,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.7974683544303798,0,0,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,0,0,0.012658227848101266,0,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0,0.012658227848101266,0,0.9873417721518988,0.012658227848101266,0.012658227848101266,0,0,0,0.9367088607594937,0.012658227848101266,0.012658227848101266,0.9873417721518988,0,0.9746835443037974,0.9620253164556962,0,0.012658227848101266,1,1,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,1,0.9873417721518988,0.012658227848101266,0.012658227848101266,0.9873417721518988,0.9873417721518988,0.012658227848101266,0.9873417721518988,0.012658227848101266,0,0.9873417721518988,0.9873417721518988,0.012658227848101266,0.9746835443037974,0.9620253164556962,0.012658227848101266,0,0.012658227848101266
AB_59,0.02531645569620253,0,0,0.012658227848101266,0,0,0,0.9873417721518988,0,0.0379746835443038,0,0,0,0.012658227848101266,0.9746835443037974,0.9746835443037974,0.9746835443037974,0.9746835443037974,0,0.02531645569620253,0.02531645569620253,0,0.9746835443037974,0.9367088607594937,1,0.9746835443037974,0,0,0,0,0,0,0,0.012658227848101266,1,0,0.02531645569620253,0.012658227848101266,0,0,0,0.02531645569620253,0,0.9746835443037974,0.012658227848101266,0.012658227848101266,0.012658227848101266,0,1,0,0.02531645569620253,0,0,0,0.012658227848101266,0.9873417721518988,0.012658227848101266,0.012658227848101266,1,0,0,0,0.9746835443037974,0.012658227848101266,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.02531645569620253,1,0,0.02531645569620253,0,0,0.012658227848101266,0.9620253164556962,0.9746835443037974,0.02531645569620253,0.02531645569620253,0.9873417721518988,0.012658227848101266,0.012658227848101266,0,0,1
AB_60,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.012658227848101266,1,0,0.9746835443037974,0,0,0.05063291139240506,0,0.012658227848101266,0.9873417721518988,0.7088607594936709,1,0.9873417721518988,0.9873417721518988,0.6582278481012658,1,0.9873417721518988,0,0,0,0,0,1,0,0,1,0.012658227848101266,0,0,0.9873417721518988,0,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,1,1,0,0.02531645569620253,0.9240506329113924,0,0,0.012658227848101266,0,0,1,0,0.012658227848101266,1,0,0.0379746835443038,0,0,0,0,0.012658227848101266,0,1,0,0
AB_61,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.012658227848101266,1,0,0.9746835443037974,0,0,0.05063291139240506,0,0.012658227848101266,0.9873417721518988,0.7088607594936709,1,0.9873417721518988,0.9873417721518988,0.6582278481012658,1,0.9873417721518988,0,0,0,0,0,1,0,0,1,0.012658227848101266,0,0,0.9873417721518988,0,0,0.012658227848101266,0,0,0,0,0.012658227848101266,0,0.012658227848101266,0.012658227848101266,0,1,1,0,0.02531645569620253,0.9240506329113924,0,0,0.012658227848101266,0,0,1,0,0.012658227848101266,1,0,0.0379746835443038,0,0,0,0,0.012658227848101266,0,1,0,0
AB_62,0,1,0,0,0.9873417721518988,0,1,0,0,0.012658227848101266,1,0,0,0.012658227848101266,0,0,0,0,0,0,0,0.20253164556962025,0.012658227848101266,0.012658227848101266,0,0,0,0.2911392405063291,0,0.012658227848101266,0,0.31645569620253167,0,0,0,1,0,0,1,0,1,0,0,0,0.9873417721518988,0.9873417721518988,0,0.06329113924050633,0,0.9873417721518988,0,0.9746835443037974,0,0.0379746835443038,0.9746835443037974,0.012658227848101266,0,0,0,0,0,1,0,0.06329113924050633,0,0,0,0,0,0,0,0,0,0,0,0.012658227848101266,0,0,0.012658227848101266,0,0.012658227848101266,0,1,0
