cluster,TF,overlap,odds_ratio,pvalue,padj
0,AATF,3.0,0.6723761816272118,0.824107373740164,
0,ABL1,6.0,0.6723364712536867,0.832947556878123,
0,AHR,15.0,1.1207663083016732,0.5122316357548466,
0,APC,6.0,0.44814350935315744,0.9545525067636038,
0,APEX1,4.0,0.5976379967411357,0.861302271685183,
0,AR,11.0,4.932797219752687,0.07487876042382056,
0,ARID3A,4.0,0.8965377933987799,0.7264867648792672,
0,ARNT,4.0,0.5976379967411357,0.861302271685183,
0,ARNTL,4.0,0.2240132509190805,0.9978395452391263,
0,ASCL1,4.0,0.3585181594150204,0.9704792775628538,
0,ATF1,20.0,2.2423899421918585,0.09350965088391253,
0,ATF2,9.0,0.6722967512526264,0.8501421877400658,
0,ATF3,7.0,3.1385454545454547,0.23691087402371575,
0,ATF4,6.0,0.6723364712536867,0.832947556878123,
0,ATF5,4.0,0.44818809841231366,0.9343220101369897,
0,ATF6,7.0,0.44812121212121214,0.9622482838712311,
0,ATM,11.0,0.44803200517255315,0.9818820442844772,
0,BCL11B,7.0,1.5691313131313132,0.43764193398137874,
0,BCL3,11.0,1.2328659177240766,0.48293341315051785,
0,BCL6,15.0,3.363511438040579,0.06621059210273336,
0,BMI1,9.0,1.3449571682560206,0.46336594309805057,
0,BRCA1,5.0,0.7470776772247361,0.7882825332333764,
0,BTF3,3.0,0.26887775713016077,0.9866824191785567,
0,CDX1,5.0,0.7470776772247361,0.7882825332333764,
0,CDX2,10.0,4.484179900594011,0.10083468145366295,
0,CEBPA,17.0,1.0887342649266658,0.5239119758391841,
0,CEBPB,32.0,2.050625451393904,0.05170199848667059,
0,CEBPD,12.0,1.0759022024651446,0.5627239455605284,
0,CEBPE,7.0,inf,0.07480385621930136,
0,CEBPZ,5.0,2.241637039431157,0.3998149166804603,
0,CIITA,16.0,0.551435953400304,0.962114797716618,
0,CITED2,8.0,1.195469177205813,0.541623033146557,
0,CLOCK,6.0,0.2986815347528046,0.9953002219590271,
0,CREB1,19.0,0.7741237257366289,0.8107871612729938,
0,CREB5,7.0,0.6274828282828283,0.8665123224795703,
0,CREBBP,25.0,0.8619322211025268,0.7335403617319591,
