ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004984,olfactory receptor activity,185/3593,429/18496,6.215629927819789e-30,6.936642999446884e-27,5.796892753735087e-27,OR11H6/OR3A1/OR4B1/OR7C1/OR13C3/OR10H5/OR52A1/OR4A5/OR2M3/OR5AU1/OR10A6/OR2L5/OR52N4/OR2G2/OR10W1/OR51D1/OR4Q3/OR52R1/OR1I1/OR2AK2/OR5K1/OR9Q1/OR2M4/OR4K1/OR7D4/OR10A2/OR56A4/OR6S1/OR7G2/OR8K3/OR9A4/OR12D3/OR6Q1/OR6A2/OR2A5/OR6J1/OR52B2/OR2C3/OR8J3/OR52K1/OR51G2/OR11A1/OR10H1/OR1S1/OR2C1/OR10R2/OR5P2/OR8B12/OR4D9/OR4A16/OR10A7/OR8H1/OR7A17/OR4D5/OR8G5/OR5A2/OR4M1/OR52D1/OR51L1/OR11G2/OR10D3/OR4D1/OR4F15/OR8B8/OR2A1/OR13F1/OR5K2/OR2AG2/OR6Y1/OR2K2/OR3A3/OR2T6/OR7A5/OR2W3/OR5T1/OR5AN1/OR4K13/OR8B3/OR4E2/OR1A1/OR4K2/OR56B1/OR2B6/OR2J3/OR1D2/OR3A2/OR13J1/OR2I1P/OR4C46/OR52I2/OR8U1/OR56A1/OR4X1/OR4F6/OR10Z1/OR2M5/OR5M3/OR8H2/OR13C4/OR5D16/OR14C36/OR9A2/OR13A1/OR52J3/OR2F1/OR5H1/OR4E1/OR2L8/OR10C1/OR52E5/OR9Q2/OR10G7/OR6C75/OR5AC2/OR2AT4/OR5B12/OR4C3/OR9G4/OR8J1/OR10G3/OR10G8/OR10H4/OR2T2/OR2T33/OR11H2/OR51A4/OR51I2/OR5M1/OR1J1/OR2V2/OR5P3/OR8G1/OR52N5/OR2S2/OR4C16/OR5D13/OR5V1/OR6M1/OR51M1/OR1L8/OR2T12/OR10K2/OR2A14/OR2T11/OR51A7/OR4D10/OR6C4/OR10AG1/OR2M2/OR5L1/OR56A3/OR4P4/OR4C5/OR8D1/OR2L2/OR13G1/OR10J1/OR6C65/OR52A5/OR52N2/OR5A1/OR2AJ1/OR51B2/OR8D4/OR13C2/OR6N1/OR1N2/OR5M11/OR4N2/OR10K1/OR2B2/OR8A1/OR2A42/OR4S1/OR1L4/OR4F17/OR7E24/GPR148/OR10T2/OR5AR1/OR2B11/OR51F2/OR51B4/OR10G4/OR2T3,185
GO:0022839,monoatomic ion gated channel activity,144/3593,325/18496,5.880892804608871e-25,3.1820949910166784e-22,2.659249351104298e-22,KCND3/PIEZO2/SCN2B/CHRND/KCNC1/KCNAB3/KCNK17/CLCNKA/KCNIP1/NALCN/TRPV4/KCNA4/CACNB4/CACNG8/KCNH6/SCNN1A/KCNJ15/SCN8A/CACNG5/KCNN1/GABRA2/GABRB3/CACNA1D/MCOLN2/GRIK4/KCNK10/GRIA1/GRIA2/CACNA1B/KCNQ4/GRIN2D/SCN5A/KCNJ3/KCNE5/HTR3A/ASIC2/CHRNB4/PKD2L1/CLCA2/CLCNKB/KCNG4/KCNJ1/SCNN1G/KCNJ16/KCNJ10/CACNA1I/HTR3E/KCNK5/CACNA1G/CNGA4/TMEM63C/KCNQ2/CHRNA7/TRPM8/SCN11A/GLRA1/CHRNA2/KCNK9/HTR3C/GABRR3/SCN2A/CNGA3/KCNIP4/CHRNB2/GRIN2A/NCS1/KCNE4/GABRG3/KCNJ5/KCNG1/KCNH4/KCNH5/KCNE1/KCNH3/KCNK1/KCNA1/KCNH7/KCNH8/KCNJ18/CHRNA6/CNGB3/GRID2/KCNK12/GRIK2/HTR3B/CACNA1A/GRIN3A/KCNN4/TMC5/SNAP25/GRIA4/CACNB2/KCNC2/CHRNA3/GRIN2B/CHRNA9/CNGB1/KCNS1/TMC1/CFTR/GABRG1/KCNJ6/TRPC3/KCNG3/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/KCNK15/CACNG3/SCN1A/CACNG2/CCT8L2/CHRNG/GABRP/KCNU1/HCN4/LRRC52/GABRA5/KCNQ3/GABRA6/CACNG7/GABRG2/KCNK13/KCNA10/KCNJ9/ZACN/KCNV2/TRPA1/SCN10A/GRIN1/KCNMB2/HTR3D/ASIC4/CACNA1F/OPRM1/GABRB1/GABRR1/SLC17A3/GABRQ/KCNV1/NOX1/TRPM5,144
GO:0022836,gated channel activity,144/3593,326/18496,8.554018793055587e-25,3.1820949910166784e-22,2.659249351104298e-22,KCND3/PIEZO2/SCN2B/CHRND/KCNC1/KCNAB3/KCNK17/CLCNKA/KCNIP1/NALCN/TRPV4/KCNA4/CACNB4/CACNG8/KCNH6/SCNN1A/KCNJ15/SCN8A/CACNG5/KCNN1/GABRA2/GABRB3/CACNA1D/MCOLN2/GRIK4/KCNK10/GRIA1/GRIA2/CACNA1B/KCNQ4/GRIN2D/SCN5A/KCNJ3/KCNE5/HTR3A/ASIC2/CHRNB4/PKD2L1/CLCA2/CLCNKB/KCNG4/KCNJ1/SCNN1G/KCNJ16/KCNJ10/CACNA1I/HTR3E/KCNK5/CACNA1G/CNGA4/TMEM63C/KCNQ2/CHRNA7/TRPM8/SCN11A/GLRA1/CHRNA2/KCNK9/HTR3C/GABRR3/SCN2A/CNGA3/KCNIP4/CHRNB2/GRIN2A/NCS1/KCNE4/GABRG3/KCNJ5/KCNG1/KCNH4/KCNH5/KCNE1/KCNH3/KCNK1/KCNA1/KCNH7/KCNH8/KCNJ18/CHRNA6/CNGB3/GRID2/KCNK12/GRIK2/HTR3B/CACNA1A/GRIN3A/KCNN4/TMC5/SNAP25/GRIA4/CACNB2/KCNC2/CHRNA3/GRIN2B/CHRNA9/CNGB1/KCNS1/TMC1/CFTR/GABRG1/KCNJ6/TRPC3/KCNG3/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/KCNK15/CACNG3/SCN1A/CACNG2/CCT8L2/CHRNG/GABRP/KCNU1/HCN4/LRRC52/GABRA5/KCNQ3/GABRA6/CACNG7/GABRG2/KCNK13/KCNA10/KCNJ9/ZACN/KCNV2/TRPA1/SCN10A/GRIN1/KCNMB2/HTR3D/ASIC4/CACNA1F/OPRM1/GABRB1/GABRR1/SLC17A3/GABRQ/KCNV1/NOX1/TRPM5,144
GO:0005216,monoatomic ion channel activity,177/3593,443/18496,4.7931207928932224e-24,1.337280701217209e-21,1.1175539532903672e-21,KCND3/NOX5/PIEZO2/SCN2B/CHRND/KCNC1/TRPV5/KCNAB3/KCNK17/CLCNKA/KCNIP1/NALCN/TRPV4/KCNA4/TRPV6/GPM6A/CACNB4/CACNG8/KCNH6/SCNN1A/SLC6A4/KCNJ15/SCN8A/CACNG5/KCNN1/TRPM6/GABRA2/GABRB3/CACNA1D/MCOLN2/GRIK4/KCNK10/GRIA1/GRIA2/CACNA1B/TRPM3/BSND/KCNQ4/GRIN2D/BEST1/SCN5A/KCNJ3/KCNE5/HTR3A/ASIC2/CHRNB4/PKD2L1/CLCA2/CLCNKB/KCNG4/SLC17A8/KCNJ1/SCNN1G/KCNJ16/KCNJ10/CACNA1I/OCA2/HTR3E/KCNK5/CACNA1G/CNGA4/TMEM63C/KCNQ2/CHRNA7/TRPM8/OTOP1/SCN11A/GLRA1/ANO4/CHRNA2/KCNK9/HTR3C/GABRR3/SCN2A/CNGA3/KCNIP4/TTYH1/CHRNB2/GRIN2A/NCS1/UNC80/DCD/KCNE4/GABRG3/SLC24A2/KCNJ5/KCNG1/KCNH4/KCNH5/KCNE1/KCNH3/KCNK1/KCNA1/TRPC7/KCNH7/KCNH8/KCNJ18/CHRNA6/ANO3/CNGB3/GRID2/KCNK12/CALHM6/GRIK2/HTR3B/PKD1L3/SLC26A8/CACNA1A/GRIN3A/KCNN4/TMC5/SNAP25/GRIA4/CACNB2/KCNC2/CHRNA3/GRIN2B/CHRNA9/CNGB1/KCNS1/TMC1/CFTR/TRPC4/GABRG1/KCNJ6/TRPC3/KCNG3/GABRA1/GLRA3/CHRNB3/CHRNA4/OTOP3/BEST4/GABRA4/KCNK15/CACNG3/SCN1A/PKDREJ/CACNG2/CCT8L2/CHRNG/GABRP/CLCA1/CALHM4/KCNU1/TRPM1/HCN4/LRRC8E/LRRC52/SLC17A6/GABRA5/KCNQ3/GABRA6/CACNG7/GABRG2/KCNK13/KCNA10/KCNJ9/ZACN/KCNV2/TRPA1/CLCA4/SCN10A/GRIN1/KCNMB2/HTR3D/ASIC4/BEST2/CACNA1F/OPRM1/GABRB1/GABRR1/SLC17A3/GABRQ/KCNV1/NOX1/TRPM5,177
GO:0030594,neurotransmitter receptor activity,65/3593,99/18496,1.0962081943547337e-23,2.4467366897997653e-21,2.044716758312198e-21,HTR7/CHRND/GABRA2/GABRB3/GRIK4/GRIA1/GRIA2/HTR6/GRM1/GRIN2D/HTR1E/DRD3/HTR3A/CHRNB4/CHRM3/HTR3E/CHRNA7/GLRA1/DRD2/CHRNA2/HTR3C/GABRR3/GPR158/CHRNB2/GRIN2A/HRH2/GABRG3/GRM5/CHRNA6/GRID2/CHRM5/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/HTR4/GRIN2B/CHRNA9/GABRG1/HTR2B/GABRA1/GLRA3/CHRNB3/HTR1D/CHRNA4/GABRA4/CHRNG/GABRP/GABRA5/GABRA6/GABRG2/CHRM2/ZACN/GRIN1/HTR1A/DRD1/HTR3D/CHRM4/GABRB1/DRD5/GABRR1/HTR5A/GABRQ/HRH3,65
GO:0046873,metal ion transmembrane transporter activity,174/3593,441/18496,6.041602710538878e-23,1.1237381041602312e-20,9.390982458837625e-21,KCND3/SLC11A1/SCN2B/KCNC1/TRPV5/SLC30A3/KCNAB3/SLC18A1/SLC4A7/NIPAL4/KCNK17/SLC4A8/KCNIP1/NALCN/MFSD2A/TRPV4/KCNA4/SLC28A3/TRPV6/GPM6A/SLC12A3/CACNB4/CACNG8/SLC13A4/SLC17A1/KCNH6/SCNN1A/SLC6A4/SLC6A15/KCNJ15/SLC8A2/SCN8A/CACNG5/KCNN1/TRPM6/SLC10A6/CACNA1D/MCOLN2/GRIK4/KCNK10/CACNA1B/TRPM3/SLC30A8/KCNQ4/SLC6A13/GRIN2D/SLC6A11/SLC12A8/SCN5A/KCNJ3/KCNE5/ASIC2/PKD2L1/SLC9A4/KCNG4/SLC17A8/KCNJ1/SLC5A5/SLC9C2/SCNN1G/KCNJ16/KCNJ10/SLC1A6/CACNA1I/KCNK5/CACNA1G/KCNQ2/CHRNA7/TRPM8/SCN11A/SLC30A10/SLC6A12/SLC12A1/SLC39A12/KCNK9/SLC5A10/SLC6A7/SCN2A/SLC41A2/KCNIP4/SLC6A3/TTYH1/GRIN2A/NCS1/KCNE4/SLC24A2/KCNJ5/KCNG1/KCNH4/SLC28A2/SLC4A10/KCNH5/KCNE1/KCNH3/ATP2C2/KCNK1/KCNA1/SLC5A9/TRPC7/KCNH7/KCNH8/SLC23A1/KCNJ18/SLC12A5/SLC13A5/KCNK12/GRIK2/SLC17A4/SLC17A2/PKD1L3/CACNA1A/SLC4A9/GRIN3A/KCNN4/SLC5A8/SNAP25/CACNB2/KCNC2/SLC5A12/GRIN2B/SLC13A2/CHRNA9/KCNS1/ATP4B/CLDN16/TMC1/TRPC4/KCNJ6/TRPC3/KCNG3/KCNK15/CACNG3/SCN1A/PKDREJ/CACNG2/CCT8L2/SLC10A1/SLC13A1/KCNU1/SLC39A2/TRPM1/HCN4/ATP2B3/LRRC52/SLC17A6/SLC30A2/KCNQ3/SLC6A5/SLC34A1/CACNG7/SLC10A2/SLC6A2/KCNK13/KCNA10/ATP4A/KCNJ9/KCNV2/SLC39A1/TRPA1/SCN10A/SLC5A7/GRIN1/ATP1A3/SLC9A3/KCNMB2/ASIC4/CACNA1F/ATP12A/OPRM1/SLC17A3/SLC5A11/KCNV1/TRPM5/SLC34A2,174
GO:0005261,monoatomic cation channel activity,135/3593,333/18496,2.84277070573442e-19,4.532188725142304e-17,3.7875110455348816e-17,KCND3/NOX5/PIEZO2/SCN2B/CHRND/KCNC1/TRPV5/KCNAB3/KCNK17/KCNIP1/NALCN/TRPV4/KCNA4/TRPV6/GPM6A/CACNB4/CACNG8/KCNH6/SCNN1A/SLC6A4/KCNJ15/SCN8A/CACNG5/KCNN1/TRPM6/CACNA1D/MCOLN2/GRIK4/KCNK10/CACNA1B/TRPM3/KCNQ4/GRIN2D/SCN5A/KCNJ3/KCNE5/HTR3A/ASIC2/CHRNB4/PKD2L1/KCNG4/KCNJ1/SCNN1G/KCNJ16/KCNJ10/CACNA1I/HTR3E/KCNK5/CACNA1G/CNGA4/TMEM63C/KCNQ2/CHRNA7/TRPM8/OTOP1/SCN11A/CHRNA2/KCNK9/HTR3C/SCN2A/CNGA3/KCNIP4/CHRNB2/GRIN2A/NCS1/UNC80/KCNE4/SLC24A2/KCNJ5/KCNG1/KCNH4/KCNH5/KCNE1/KCNH3/KCNK1/KCNA1/TRPC7/KCNH7/KCNH8/KCNJ18/CHRNA6/CNGB3/KCNK12/CALHM6/GRIK2/HTR3B/PKD1L3/CACNA1A/GRIN3A/KCNN4/SNAP25/CACNB2/KCNC2/CHRNA3/GRIN2B/CHRNA9/CNGB1/KCNS1/TMC1/TRPC4/KCNJ6/TRPC3/KCNG3/CHRNB3/CHRNA4/OTOP3/KCNK15/CACNG3/SCN1A/PKDREJ/CACNG2/CCT8L2/CHRNG/CALHM4/KCNU1/TRPM1/HCN4/LRRC52/KCNQ3/CACNG7/KCNK13/KCNA10/KCNJ9/ZACN/KCNV2/TRPA1/SCN10A/GRIN1/KCNMB2/HTR3D/ASIC4/CACNA1F/OPRM1/KCNV1/TRPM5,135
GO:0098960,postsynaptic neurotransmitter receptor activity,48/3593,72/18496,2.8828660150483506e-18,4.021598090992449e-16,3.360814854385314e-16,CHRND/GABRA2/GRIK4/GRIA1/GRIA2/GRM1/GRIN2D/DRD3/HTR3A/CHRNB4/CHRM3/HTR3E/CHRNA7/GLRA1/DRD2/CHRNA2/HTR3C/CHRNB2/GRIN2A/GABRG3/GRM5/CHRNA6/GRID2/CHRM5/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRA5/GABRA6/GABRG2/CHRM2/ZACN/DRD1/HTR3D/CHRM4/GABRB1/DRD5/HRH3,48
GO:0015276,ligand-gated monoatomic ion channel activity,73/3593,146/18496,8.726628792057949e-17,1.0821019702151857e-14,9.04303287691619e-15,CHRND/KCNH6/SCNN1A/KCNJ15/KCNN1/GABRA2/GABRB3/MCOLN2/GRIK4/GRIA1/GRIA2/GRIN2D/KCNJ3/HTR3A/ASIC2/CHRNB4/CLCA2/KCNJ1/SCNN1G/KCNJ16/KCNJ10/HTR3E/CNGA4/CHRNA7/TRPM8/GLRA1/CHRNA2/HTR3C/GABRR3/CNGA3/CHRNB2/GRIN2A/GABRG3/KCNJ5/KCNK1/KCNH7/KCNJ18/CHRNA6/CNGB3/GRID2/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/CNGB1/CFTR/GABRG1/KCNJ6/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRP/HCN4/GABRA5/GABRA6/GABRG2/KCNA10/KCNJ9/ZACN/TRPA1/GRIN1/HTR3D/ASIC4/GABRB1/GABRR1/GABRQ/TRPM5,73
GO:0022834,ligand-gated channel activity,73/3593,147/18496,1.4068177314090373e-16,1.5700085882524856e-14,1.3120426421351652e-14,CHRND/KCNH6/SCNN1A/KCNJ15/KCNN1/GABRA2/GABRB3/MCOLN2/GRIK4/GRIA1/GRIA2/GRIN2D/KCNJ3/HTR3A/ASIC2/CHRNB4/CLCA2/KCNJ1/SCNN1G/KCNJ16/KCNJ10/HTR3E/CNGA4/CHRNA7/TRPM8/GLRA1/CHRNA2/HTR3C/GABRR3/CNGA3/CHRNB2/GRIN2A/GABRG3/KCNJ5/KCNK1/KCNH7/KCNJ18/CHRNA6/CNGB3/GRID2/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/CNGB1/CFTR/GABRG1/KCNJ6/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRP/HCN4/GABRA5/GABRA6/GABRG2/KCNA10/KCNJ9/ZACN/TRPA1/GRIN1/HTR3D/ASIC4/GABRB1/GABRR1/GABRQ/TRPM5,73
GO:0022824,transmitter-gated monoatomic ion channel activity,40/3593,61/18496,4.457940795113536e-15,4.1458849394555884e-13,3.4646803021671865e-13,CHRND/GABRA2/GABRB3/GRIK4/GRIA1/GRIA2/GRIN2D/HTR3A/CHRNB4/HTR3E/CHRNA7/GLRA1/CHRNA2/HTR3C/CHRNB2/GRIN2A/GABRG3/CHRNA6/GRID2/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/GABRG1/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRA5/GABRA6/GABRG2/ZACN/GRIN1/HTR3D/GABRB1,40
GO:0022835,transmitter-gated channel activity,40/3593,61/18496,4.457940795113536e-15,4.1458849394555884e-13,3.4646803021671865e-13,CHRND/GABRA2/GABRB3/GRIK4/GRIA1/GRIA2/GRIN2D/HTR3A/CHRNB4/HTR3E/CHRNA7/GLRA1/CHRNA2/HTR3C/CHRNB2/GRIN2A/GABRG3/CHRNA6/GRID2/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/GABRG1/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRA5/GABRA6/GABRG2/ZACN/GRIN1/HTR3D/GABRB1,40
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,37/3593,55/18496,1.3849553735306512e-14,1.1889309206616974e-12,9.935793206057952e-13,CHRND/GABRA2/GRIK4/GRIA1/GRIA2/GRIN2D/HTR3A/CHRNB4/HTR3E/CHRNA7/GLRA1/CHRNA2/HTR3C/CHRNB2/GRIN2A/GABRG3/CHRNA6/GRID2/GRIK2/HTR3B/GRIN3A/GRIA4/CHRNA3/GRIN2B/CHRNA9/GABRA1/GLRA3/CHRNB3/CHRNA4/GABRA4/CHRNG/GABRA5/GABRA6/GABRG2/ZACN/HTR3D/GABRB1,37
GO:0005125,cytokine activity,97/3593,237/18496,1.5371302548852964e-14,1.2253124031799932e-12,1.023983011901032e-12,IL6/GREM1/IL1B/CRLF1/CCL22/IL17D/CXCL3/CXCL8/OSM/SPP1/GDF6/SCG2/CCL11/IL11/CXCL14/CMTM2/INHBA/TNFSF14/WNT16/IL1RN/FAM3B/CXCL5/IL13/IL19/IL17B/CXCL2/AREG/IL24/IFNE/WNT10A/ALKAL2/CXCL1/WNT2/TNFSF9/IL22/IL10/IFNL2/IL36RN/WNT7A/CCL25/NRG1/C17orf99/CCL2/INHBC/WNT8B/BMP7/GREM2/CSF2/GDF7/CXCL6/TNFSF11/IFNG/GDF3/BMP8A/FAM3D/CSF3/WNT1/IFNA6/IL17C/CCL1/IL27/IL36G/IFNA4/CXCL13/GDF5/TNFRSF11B/IL23A/LEFTY2/CCL20/GDF2/LTA/CMTM5/IL2/CLCF1/CCL16/CCL26/IL5/CCL17/IFNA14/BMP10/IL25/CXCL11/IL26/IL1F10/NODAL/IL31/FASLG/CCL4/INHA/SLURP1/IL3/LIF/IL17A/IFNA1/IL20/IFNA13/IL36A,97
