ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005882,intermediate filament,122/3639,214/19886,5.75341199124891e-37,3.331225542933119e-34,2.876705995624455e-34,DLGAP2/SHANK2/UPP2/SCYGR4/BFSP1/KRT32/KRTAP19-3/KRTAP4-11/KRT5/LMNTD1/KRT27/KRT72/KRT26/KRTAP1-1/NEFL/KRT12/BFSP2/KRTAP13-3/KRTAP4-12/GFAP/KRT2/KRT39/KRT86/KRTAP19-6/KRTAP3-1/CASP14/KRT1/KRTAP21-1/KRT8/KRTAP22-1/KRTAP1-5/KRT84/KRTAP13-2/KRT6A/KRT40/KRT6B/KRTAP4-1/KRT77/KRT33B/KRT4/KRT83/KRT23/KRT15/KRT28/KRT76/KRTAP4-4/KRTAP6-3/KRT79/KRTAP26-1/KRT25/KRT24/KRT85/KRT73/KRT34/KRT3/KRTAP19-8/KRTAP4-8/KRTAP19-1/KRTAP4-5/KRT6C/KRTAP25-1/KRT9/KRTAP24-1/INA/KRT82/KRT20/KRT74/KRTAP19-2/KRT17/KRTAP20-1/KRTAP5-3/KRT33A/KRT78/KRTAP9-9/KRTAP5-4/KRT14/KRTAP9-7/KRTAP5-11/KRTAP9-8/KRTAP27-1/KRTAP4-3/KRT71/KRTAP20-2/KRT36/KRT13/KRTAP3-3/KRT16/KRTAP5-10/KRTAP5-2/KRTAP19-5/KRTAP4-9/KRTAP10-1/KRTAP19-4/KRTAP12-2/KRT75/KRTAP29-1/KRTAP6-1/KRTAP3-2/KRTAP17-1/KRTAP6-2/KRTAP22-2/KRTAP21-2/KRTAP11-1/KRTAP7-1/KRTAP10-5/KRTAP9-3/KRT35/KRTAP15-1/KRT38/KRTAP4-16/KRT37/KRTAP10-11/KRTAP2-1/KRTAP1-4/KRTAP9-2/KRTAP9-4/KRTAP9-6/SCYGR2/KRTAP2-3/SCYGR3/SCYGR8/KRTAP4-6,122
GO:0045111,intermediate filament cytoskeleton,127/3639,250/19886,1.247549584695386e-31,3.6116560476931426e-29,3.1188739617384653e-29,RAD51/DLGAP2/SHANK2/UPP2/SCYGR4/BFSP1/HOXA13/KRT32/KRTAP19-3/KRTAP4-11/KRT5/LMNTD1/KRT27/KRT72/KRT26/KRTAP1-1/NEFL/KRT12/BFSP2/KRTAP13-3/SLC1A6/KRTAP4-12/GFAP/KRT2/KRT39/KRT86/KRTAP19-6/KRTAP3-1/CASP14/KRT1/KRTAP21-1/KRT8/KRTAP22-1/KRTAP1-5/KRT84/KRTAP13-2/KRT6A/KRT40/KRT6B/KRTAP4-1/KRT77/KRT33B/KRT4/KRT83/KRT23/KRT15/KRT28/KRT76/KRTAP4-4/KRTAP6-3/KRT79/KRTAP26-1/KRT25/KRT24/KRT85/KRT73/KRT34/KRT3/KRTAP19-8/KRTAP4-8/KRTAP19-1/KRTAP4-5/KRT6C/KRTAP25-1/KRT9/KRTAP24-1/INA/KRT82/KRT20/KRT74/NR1I2/KRTAP19-2/KRT17/KRTAP20-1/KRTAP5-3/KRT33A/KRT78/KRTAP9-9/KRTAP5-4/KRT14/KRTAP9-7/PADI6/KRTAP5-11/KRTAP9-8/KRTAP27-1/KRTAP4-3/KRT71/KRTAP20-2/KRT36/KRT13/KRTAP3-3/KRT16/KRTAP5-10/KRTAP5-2/KRTAP19-5/KRTAP4-9/KRTAP10-1/KRTAP19-4/KRTAP12-2/KRT75/KRTAP29-1/KRTAP6-1/KRTAP3-2/KRTAP17-1/KRTAP6-2/KRTAP22-2/KRTAP21-2/KRTAP11-1/KRTAP7-1/KRTAP10-5/KRTAP9-3/KRT35/KRTAP15-1/KRT38/KRTAP4-16/KRT37/KRTAP10-11/KRTAP2-1/KRTAP1-4/KRTAP9-2/KRTAP9-4/KRTAP9-6/SCYGR2/KRTAP2-3/SCYGR3/SCYGR8/KRTAP4-6,127
GO:0045095,keratin filament,69/3639,97/19886,5.831935064104547e-30,1.1255634673721775e-27,9.719891773507579e-28,KRTAP4-11/KRT5/KRT72/KRTAP1-1/KRTAP4-12/KRT2/KRT86/KRTAP3-1/CASP14/KRT1/KRT8/KRTAP1-5/KRT84/KRT6A/KRT6B/KRTAP4-1/KRT77/KRT4/KRT83/KRT76/KRTAP4-4/KRT79/KRTAP26-1/KRT25/KRT85/KRT73/KRT3/KRTAP4-8/KRTAP4-5/KRT6C/KRTAP25-1/KRT9/KRTAP24-1/KRT82/KRT74/KRT17/KRT78/KRTAP9-9/KRTAP5-4/KRT14/KRTAP9-7/KRTAP5-11/KRTAP9-8/KRTAP27-1/KRTAP4-3/KRT71/KRT36/KRT13/KRTAP3-3/KRT16/KRTAP5-2/KRTAP4-9/KRTAP10-1/KRTAP12-2/KRT75/KRTAP29-1/KRTAP3-2/KRTAP11-1/KRTAP10-5/KRTAP9-3/KRTAP4-16/KRTAP10-11/KRTAP2-1/KRTAP1-4/KRTAP9-2/KRTAP9-4/KRTAP9-6/KRTAP2-3/KRTAP4-6,69
GO:0034702,monoatomic ion channel complex,111/3639,300/19886,1.106652900671165e-14,1.6018800737215113e-12,1.3833161258389562e-12,GABRA2/SCN8A/SCN11A/TRPC4/GABRB2/GRIN2B/SCN2A/CACNA1A/SHISA9/KCNIP4/GABRG3/TRPC3/GRIK4/GRIN2A/CACNA1D/CHRNB4/GABRB3/VWC2L/PKD1L3/CLCNKB/RYR2/SCNN1A/GABRR3/GRID2/PKD2L1/CNGB3/KCNQ3/KCNN4/UNC80/DPP10/CNTNAP2/SLC17A8/GRIA4/KCNG3/GLRA1/GABRG2/GABRG1/CACNA1F/GRIN3A/KCNJ6/KCNMB2/CFTR/SCN1A/TRPC7/HTR3B/GLRA2/GRIK1/KCNIP1/HTR3E/TTYH1/GABRA4/GLRA3/OLFM3/HTR3D/SHISA7/GABRA1/CNGA4/GABRA5/VWC2/TRPC5/GRIA1/GABRQ/CNGA3/CATSPERD/SCNN1G/CHRNA9/KCNC1/KCNK1/GABRR1/GABRB1/CACNG5/CACNG3/GABRP/CHRNA3/KCNA4/KCNS2/GABRA3/TRPV6/SLC17A6/KCNV1/CHRNA4/BEST4/CACNA1E/KCNV2/KCNS1/CACNG2/CHRNB3/CNGB1/KCNG4/CACNA1I/KCNN1/HTR3A/KCNA10/CHRNA2/HCN4/KCNB2/SCN10A/GABRA6/CHRNA6/KCNG1/CHRNB2/HTR3C/KCNC2/CACNG7/CNGA2/BEST2/EFCAB9/TMEM262/CACNG4/KCNJ4/CLDN17,111
GO:0031514,motile cilium,95/3639,271/19886,3.1830855434475516e-11,3.233685245299293e-9,2.7924743050943805e-9,SLC25A31/DNAH5/DNAH7/DNAH6/SPAG6/DNAH9/TEKT3/FBXL13/ADCY10/CABYR/ENO4/SPAG17/DNAH14/CFAP52/CFAP45/TTLL9/IQCA1/CCDC38/RSPH6A/MAK/CFAP43/DNAH10/SCNN1A/DNAH8/ROPN1B/CFAP221/AK7/SAXO1/USP26/ACTL7A/SLC26A3/CABCOCO1/TEKT1/CCDC103/SLC26A8/CFAP47/ENKUR/TCP11/ROPN1/DRC1/NME8/MROH2B/PMFBP1/HAVCR1/RSPH9/CFAP65/AK8/DCDC2C/TTC29/SPATA19/CCDC65/DNAH17/DNAJB13/ADGB/DAW1/CCDC172/CATSPERD/AKAP4/DNAH2/SUN5/TEKT2/DNAH11/LDHC/DRC7/MORN5/SPACA3/CFAP206/CFAP99/SSX1/PPP3R2/CCR6/CABS1/PGK2/FSCB/RSPH1/GK2/LYZL6/RSPH14/CFAP100/DYDC1/TTLL8/CST11/LYZL4/DNAI1/SPEF1/CFAP74/ODF1/CFAP73/EFCAB9/TMEM262/KLC3/TEKT5/PGAM4/DNAI2/CT55,95
GO:0001533,cornified envelope,34/3639,60/19886,3.350969166113257e-11,3.233685245299293e-9,2.7924743050943805e-9,DSG1/SCEL/SERPINB5/DSG4/SPRR1B/SPRR2A/DSC3/SPRR2E/KRT2/FLG2/CASP14/KRT1/SERPINB2/DSC1/KLK7/FLG/KRT77/LORICRIN/CDSN/SPRR2G/SERPINB12/SPRR2D/TCHH/DSG3/KLK6/HRNR/KRT17/RPTN/KRT14/PI3/SPRR3/KRT16/KRT75/SPRR2B,34
GO:1902711,GABA-A receptor complex,16/3639,19/19886,8.48096685514999e-10,7.014971155902634e-8,6.05783346796428e-8,GABRA2/GABRB2/GABRG3/GABRB3/GABRR3/GABRG2/GABRG1/GABRA4/GABRA1/GABRA5/GABRQ/GABRR1/GABRB1/GABRP/GABRA3/GABRA6,16
GO:0097729,9+2 motile cilium,66/3639,182/19886,6.668186630591049e-9,4.826100073890271e-7,4.1676166441194053e-7,DNAH5/DNAH7/DNAH6/SPAG6/DNAH9/TEKT3/CABYR/ENO4/DNAH14/CFAP52/CFAP45/CCDC38/RSPH6A/CFAP43/DNAH10/SCNN1A/DNAH8/CFAP221/SAXO1/USP26/SLC26A3/CABCOCO1/SLC26A8/CFAP47/ENKUR/TCP11/NME8/MROH2B/PMFBP1/RSPH9/CFAP65/AK8/DCDC2C/TTC29/SPATA19/DNAH17/DNAJB13/CCDC172/CATSPERD/AKAP4/DNAH2/SUN5/DNAH11/MORN5/SPACA3/SSX1/PPP3R2/CCR6/CABS1/PGK2/FSCB/RSPH1/GK2/LYZL6/TTLL8/CST11/LYZL4/DNAI1/SPEF1/CFAP74/ODF1/EFCAB9/TEKT5/PGAM4/DNAI2/CT55,66
GO:1902495,transmembrane transporter complex,118/3639,394/19886,9.785027909847218e-9,6.150532555222129e-7,5.311340721262633e-7,GABRA2/SCN8A/SCN11A/TRPC4/GABRB2/GRIN2B/SCN2A/CACNA1A/SHISA9/KCNIP4/GABRG3/TRPC3/GRIK4/GRIN2A/CACNA1D/CHRNB4/GABRB3/VWC2L/PKD1L3/CLCNKB/RYR2/SCNN1A/GABRR3/GRID2/PKD2L1/CNGB3/KCNQ3/KCNN4/UNC80/DPP10/CNTNAP2/SLC17A8/GRIA4/KCNG3/GLRA1/GABRG2/GABRG1/CACNA1F/GRIN3A/ABCG8/KCNJ6/KCNMB2/CFTR/SCN1A/TRPC7/HTR3B/GLRA2/GRIK1/KCNIP1/HTR3E/TTYH1/GABRA4/GLRA3/OLFM3/HTR3D/SHISA7/GABRA1/CNGA4/GABRA5/VWC2/ATP4B/TRPC5/GRIA1/GABRQ/CNGA3/CATSPERD/SCNN1G/CHRNA9/KCNC1/KCNK1/GABRR1/GABRB1/CACNG5/CACNG3/ABCG5/GABRP/CHRNA3/KCNA4/WDR93/KCNS2/GABRA3/TRPV6/SLC17A6/KCNV1/CHRNA4/BEST4/CACNA1E/ATP4A/KCNV2/KCNS1/CACNG2/CHRNB3/CNGB1/KCNG4/CACNA1I/KCNN1/ATP12A/HTR3A/KCNA10/ATP1A3/CHRNA2/HCN4/KCNB2/SCN10A/GABRA6/CHRNA6/KCNG1/CHRNB2/HTR3C/KCNC2/CACNG7/CNGA2/BEST2/EFCAB9/TMEM262/CACNG4/KCNJ4/CLDN17,118
GO:0016324,apical plasma membrane,120/3639,403/19886,1.0622681442525266e-8,6.150532555222129e-7,5.311340721262633e-7,TRPM6/PKHD1/SLC26A4/TF/ASPM/SLC4A8/ABCB1/PTPRO/GNAT3/USH2A/PAPPA2/ADCY10/ABCB11/OTOA/LRP2/SHANK2/SLC17A2/SCNN1A/SI/PRKG2/MARVELD2/MUC13/SLC4A10/SLC9A4/GPR143/DSG1/SLC13A1/SLC26A3/PDZK1/ABCG8/SLC12A1/CFTR/SLC3A1/SLC5A12/SLC6A14/ABCC11/OXTR/SHROOM3/ANXA13/UMOD/MUC17/IGSF5/SLC22A2/CASR/SLC17A1/ATP4B/SLC7A13/SLC17A3/CBLIF/MAL2/CYP4A11/SLC10A2/SCNN1G/ATP6V0A4/SLC17A4/CEACAM20/SLC15A1/KCNK1/CYP4F2/ACE2/ABCG5/SLCO1A2/SLC5A8/LCT/SLC12A3/PRKCZ/SLC6A19/GP2/CLCA4/GJB6/SLC5A11/TRPV5/TMEM174/KISS1/S100G/AQP8/MFRP/DUOX2/UPK1B/LHFPL5/OTOG/ATP4A/SLC22A8/ADCY8/CDHR2/CFAP126/TMEM114/GNAT1/MGAM/SLC22A11/ATP12A/CEACAM7/PLET1/SLC23A1/SLC2A7/AQP10/SLC44A4/DPEP1/PTPRH/SLC2A2/MIP/AQP6/SLC5A10/EPCAM/TMEM235/FOLR1/KCNC2/ATP6V0D2/SPEF1/KNCN/SLC34A1/P2RX2/CRB2/SLC13A2/F2RL2/AQP2/SLC22A7/UPK2/CEACAM6/ACY3,120
GO:1902710,GABA receptor complex,16/3639,21/19886,1.2234049175080754e-8,6.43955861124705e-7,5.560931443218525e-7,GABRA2/GABRB2/GABRG3/GABRB3/GABRR3/GABRG2/GABRG1/GABRA4/GABRA1/GABRA5/GABRQ/GABRR1/GABRB1/GABRP/GABRA3/GABRA6,16
GO:0097060,synaptic membrane,114/3639,393/19886,1.1506117991111799e-7,5.551701930711443e-6,4.794215829629916e-6,CHRM3/GPM6A/GABRA2/SCN8A/CNTNAP4/SLC4A8/CDH8/GPR158/NRXN1/PTPRO/SLC5A7/GABRB2/SYT1/GRIN2B/SCN2A/CNTN6/SLC6A4/SHISA9/GABRG3/SNAP25/KCTD16/PTPRT/GRIK4/DGKI/GRIN2A/RIMS2/LRRTM3/SHANK2/GRM7/ERC2/CDH10/CHRNB4/GABRB3/GSG1L/RPH3A/GRM5/SLC6A11/GABRR3/GRID2/CNTNAP2/DCC/GRM1/CNTN5/NETO1/CHRM2/GRIA4/GAD2/GLRA1/SLC6A2/SORCS3/GABRG2/GABRG1/GRIN3A/DRD1/CNTN2/HTR3B/GLRA2/GRIK1/NTNG1/GABRA4/GLRA3/STX19/NSG1/SHISA7/CHRM5/OTOF/GABRA1/GABRA5/GRIA1/HTR5A/GABRQ/SLC1A6/CHRNA9/SLC6A5/KCNC1/KCNK1/GABRR1/GABRB1/CACNG5/CACNG3/GABRP/CHRNA3/LRRTM1/GRM3/GABRA3/CDH9/UNC13A/CHRNA4/ADCY8/OPRK1/CACNG2/CHRNB3/SLC6A7/HTR3A/LHFPL4/CHRNA2/SCN10A/GABRA6/CHRNA6/GHSR/GRID2IP/SLITRK1/KCNJ9/ATP2B3/LRFN2/FOSL1/CHRNB2/SLC6A3/KCNC2/CACNG7/CACNG4/CHRM1/KCNJ4/ACP4,114
GO:0034707,chloride channel complex,27/3639,55/19886,1.9863911185916303e-7,8.847080443573493e-6,7.639965840737038e-6,GABRA2/GABRB2/GABRG3/GABRB3/CLCNKB/GABRR3/SLC17A8/GLRA1/GABRG2/GABRG1/CFTR/GLRA2/TTYH1/GABRA4/GLRA3/GABRA1/GABRA5/GABRQ/GABRR1/GABRB1/GABRP/GABRA3/SLC17A6/BEST4/GABRA6/BEST2/CLDN17,27
