gene,log2FC,p_value,FDR
PROKR1,2.141479503125004,2.2568872088509755e-11,4.2954916277267103e-07
DBX2,1.7114172988095502,3.4700097609241855e-11,4.2954916277267103e-07
ASXL3,1.9038097768856266,3.5823626384910854e-11,4.2954916277267103e-07
LMCD1-AS1,1.3630467383374378,6.916951810877651e-11,5.90851720672034e-07
AP003471.1,1.8278190241574606,8.212661523852356e-11,5.90851720672034e-07
DPYS,2.4385208459817935,2.3012368646008447e-10,1.261643614479065e-06
LYPD6,1.8891023293409057,2.7106170116871513e-10,1.261643614479065e-06
TM4SF19-AS1,1.83989185667666,3.1341221437056704e-10,1.261643614479065e-06
AL365295.1,1.4478054920086156,3.3196459052946516e-10,1.261643614479065e-06
LINC02236,1.5121666750602023,3.691134618643402e-10,1.261643614479065e-06
TRABD2A,1.511604580887403,3.8973631711505747e-10,1.261643614479065e-06
AC079779.1,2.4320950000803996,4.208752188854882e-10,1.261643614479065e-06
NCAPG,1.3794070397320066,5.654743358400518e-10,1.5647109852952572e-06
ATP13A4,1.82399558440459,6.477581445064198e-10,1.6643682838703525e-06
AP000793.1,2.1736377391949935,6.947703140664131e-10,1.6661518491731341e-06
SMCO2,2.1210516863316027,1.1343723715569854e-09,2.4641167484998503e-06
C20orf202,1.102077867968621,1.1757628386709697e-09,2.4641167484998503e-06
AL031733.2,1.661534269278354,1.2330173877737492e-09,2.4641167484998503e-06
STPG2,1.7416129911885874,1.4058983782883279e-09,2.6557534737883075e-06
BCL11A,1.8690070708070008,1.5409189657499097e-09,2.6557534737883075e-06
TRIM36,1.6445490713656044,1.5623481693039596e-09,2.6557534737883075e-06
LINC02103,2.043547715172209,1.749571322833973e-09,2.6557534737883075e-06
GORAB-AS1,2.0960617213545416,1.8416315628466801e-09,2.6557534737883075e-06
LINC01915,1.8986267811964204,1.9736518906425837e-09,2.6557534737883075e-06
PRSS37,2.387180118820713,1.9900216497282524e-09,2.6557534737883075e-06
AC092821.3,2.22102401598624,2.0483076563179112e-09,2.6557534737883075e-06
AC005899.8,2.348905504033243,2.0767997407476503e-09,2.6557534737883075e-06
AC099541.2,2.342392197201604,2.1246934638489534e-09,2.6557534737883075e-06
BCAS1,2.092381799120783,2.1410222044885165e-09,2.6557534737883075e-06
SCN11A,1.8605988913094234,2.3548889650632055e-09,2.8236688617084543e-06
PAPPA2,1.9095362796111197,2.4733663999895806e-09,2.867290182107113e-06
CHRM3,1.8724506177359939,2.5538514732935606e-09,2.867290182107113e-06
LINC01013,1.898115077748277,2.690107315427988e-09,2.867290182107113e-06
ACP3,1.497942176546605,2.7101041418781787e-09,2.867290182107113e-06
RAG1,1.5763282482337557,2.8618982452903207e-09,2.9413772479880975e-06
CFAP54,1.905619130742178,3.29635604579389e-09,3.196082462043451e-06
DNAH12,2.0426145538228013,3.4071873319150112e-09,3.196082462043451e-06
LINC00839,1.9362740157687712,3.411706598929323e-09,3.196082462043451e-06
SIDT1,1.373583637599889,3.4651177588039192e-09,3.196082462043451e-06
HMGA2,2.421463768360051,3.713389221828079e-09,3.339450927189991e-06
SH3TC2,1.2405088751563684,4.02484688033571e-09,3.531263219010639e-06
PPM1E,1.4316029025718793,4.265844703227628e-09,3.6330404477717733e-06
FANCD2,1.4258921930999218,4.4050186271698115e-09,3.6330404477717733e-06
SLC4A8,2.1624271831706925,4.466236414197485e-09,3.6330404477717733e-06
CTNND2,2.122208095833879,4.5448354317171636e-09,3.6330404477717733e-06
PTPRQ,1.4670355402371567,4.6553310669440725e-09,3.6404688943502644e-06
CLCA2,2.347544685065443,4.983056882727543e-09,3.8138408975633013e-06
CADPS,2.0713650008238145,5.334201704218291e-09,3.997539660502924e-06
AL513166.1,1.7225758645301892,5.512506236977682e-09,4.0031161366377454e-06
ZNF831,1.7538643408318406,5.5642112429636185e-09,4.0031161366377454e-06
KATNAL2,1.2143271586306528,5.997907243283648e-09,4.1524318413306715e-06
AC079209.1,2.2643896850900522,6.18703792628165e-09,4.1524318413306715e-06
LY9,2.074678971017069,6.259959507549342e-09,4.1524318413306715e-06
OVCH1,1.5101971469857383,6.312564931451347e-09,4.1524318413306715e-06
LETM2,1.8361014730544352,6.623537317858808e-09,4.1524318413306715e-06
SPAG5-AS1,1.4801533681872436,6.659582107073726e-09,4.1524318413306715e-06
TDO2,2.377368335520896,6.790189611083243e-09,4.1524318413306715e-06
NEK5,2.080578862327432,6.807443651153597e-09,4.1524318413306715e-06
AC022023.2,2.1700281501944723,6.91885573847773e-09,4.1524318413306715e-06
ARRDC3-AS1,1.5769672409977709,6.943203236717791e-09,4.1524318413306715e-06
LINC01852,1.6131622519492699,7.18942806358416e-09,4.1524318413306715e-06
